Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
9.702533417,-4.141837785,4.089007607,-1.742074993,6.075329516,0.0
9.712507417,-3.335537737,2.319324401,-1.983445131,4.520965855,0.0
9.722482417,-2.007941456,-0.2385202056,-2.091794183,2.909351077,0.0
9.732456417,0.6234815884,-4.080840216,-1.836200254,4.518143151,0.0
9.742430417,6.163695615,-10.68026449,-0.8336580008,12.35937616,0.0
9.752404417,13.23852308,-18.82597618,2.252347323,23.12463926,0.0
9.762379417,18.1772276,-22.02443121,7.479929001,29.52010351,0.0
9.772353417,18.31437756,-21.61924021,11.05857935,30.41545906,0.0
9.782327417,18.00783844,-24.80287372,10.96573609,32.5532204,0.0
9.792302417,18.20595614,-26.26907474,10.49920663,33.64155863,0.0
9.802276417,17.45073562,-22.49632958,11.46008893,30.69114948,0.0
9.812250417,16.59114697,-18.8281455,11.13068955,27.45282263,0.0
9.822225417,15.3594076,-16.29552344,9.843519748,24.46120126,0.0
9.832199417,13.67849215,-13.89684121,8.645875497,21.33013142,0.0
9.842173417,12.02835994,-11.26668526,7.927802916,18.28851275,0.0
9.852148417,10.25782187,-8.348691346,6.737532004,14.84310932,0.0
9.862122417,8.38609423,-5.426478665,5.028416011,11.18294303,0.0
9.872096417,6.510377031,-2.51752747,2.900103481,7.55867408,0.0
9.882071417,4.827108071,0.02309357822,0.5588274631,4.859402615,0.0
9.892045417,3.503472109,2.281572438,-1.221764893,4.355754707,0.0
9.902019417,2.50241768,4.609759464,-2.96374136,6.024594543,0.0
9.911994417,1.585911065,6.845493824,-4.488751336,8.338152562,1.0
9.921968417,0.2293944561,8.972681642,-5.694377621,10.62956133,1.0
9.931942417,-1.339370234,10.94008669,-7.144395302,13.13475518,1.0
9.941917417,-2.552512531,11.89651342,-8.642919145,14.92455705,1.0
9.951891417,-3.282939109,11.65169284,-9.592918611,15.44550817,1.0
9.961865417,-3.54814893,10.81836169,-9.737706195,14.98162984,1.0
9.971839417,-3.594291063,9.926785269,-9.50061388,14.20287499,0.0
9.981814417,-3.490182558,9.00263225,-9.419501889,13.48909847,0.0
9.991788417,-3.260301613,8.711167846,-9.261883174,13.12617582,0.0
