Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
2.9616895,0.9569646692,0.4268531746,-1.543595935,1.865656298,0
2.9717705,0.6800253332,0.3035207784,-1.478510578,1.65546152,0
2.9818515,0.5266668999,0.2101863527,-1.353473718,1.467462924,0
2.9919315,0.4895224625,0.1285685778,-1.269478611,1.366652138,0
3.0020125,0.4403011858,-0.02921561301,-1.12743264,1.210711792,0
3.0120925,0.1854403514,-0.2445732433,-1.224992264,1.262857966,0
3.0221735,-0.09120954752,-0.3183364534,-1.309697369,1.350912461,0
3.0322545,-0.2594737029,-0.2798477411,-1.244780703,1.30196788,0
3.0423345,-0.2096846616,-0.2053676623,-1.01075496,1.052506116,0
3.0524155,0.02440861702,-0.2003267777,-0.5533687949,0.5890192031,0
3.0624965,0.1551511896,-0.2367654562,0.009927402735,0.2832460524,0
3.0725765,0.09132707655,-0.3165015972,0.5571268004,0.6472280646,0
3.0826575,-0.02325788498,-0.3430982423,0.8733015382,0.9385696084,0
3.0927385,-0.3229452288,-0.4652354676,0.8487116575,1.020318156,0
3.1028185,-0.7084498179,-0.7111442149,0.4865093923,1.115490308,0
3.1128995,-1.011961241,-1.039989869,0.03195210993,1.45143564,0
3.1229795,-1.174959394,-1.239480495,-0.1921494466,1.718651472,0
3.1330605,-1.151010953,-1.285903879,-0.256219435,1.744712984,0
3.1431415,-0.9849424267,-1.266827922,-0.3266264896,1.637574253,0
3.1532215,-0.8977885079,-1.160191081,-0.3640384372,1.511486531,0
3.1633025,-0.8419388276,-0.9968075967,-0.2426595958,1.327166174,0
3.1733835,-0.8035337305,-0.8115911937,0.002710184455,1.142083214,0
3.1834635,-0.7899132264,-0.6976962036,0.2484690969,1.082811059,0
3.1935445,-0.6337393588,-0.6033648276,0.4474423903,0.9827916273,0
3.2036255,-0.4059131259,-0.5281602788,0.6764455216,0.9493667834,0
3.2137055,-0.2035801685,-0.4890833366,0.8516561691,1.002978377,0
3.2237865,-0.0167563659,-0.4785811526,1.023514169,1.130000863,0
3.2338675,0.07870527685,-0.4316057914,1.308052547,1.379666462,0
3.2439475,0.08525123477,-0.3333708143,1.555081036,1.592696111,0
3.2540285,0.01294339657,-0.2498252124,1.675119111,1.693695428,0
3.2641085,-0.07795507908,-0.2290722746,1.626556231,1.644456224,0
3.2741895,-0.1007083493,-0.2021019924,1.556847918,1.573137892,0
3.2842705,0.03938216686,-0.0985326004,1.656717192,1.660111889,0
3.2943505,0.1511230427,0.04527206719,1.772589711,1.779596026,0
3.3044315,0.2276052082,0.1241042286,1.748282982,1.767399042,0
3.3145125,0.2982688093,0.1216472286,1.545214298,1.578432627,0
3.3245925,0.3271844602,0.1703071725,1.443887606,1.490256898,0
3.3346735,0.242146064,0.2996721411,1.472046919,1.521630783,0
3.3447545,0.09753038764,0.4493491673,1.640660738,1.703876318,0
3.3548345,0.01958115578,0.6121473455,1.708941745,1.815375907,0
3.3649155,0.09382325292,0.7506596982,1.639631044,1.805736067,0
